nombre,categoria,latitud,longitud,servicios,ciudad
Villa Clara,hotel,5.3484047,-72.3998758,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
El Estero,hotel,5.3474264,-72.4013723,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Rey Salem,hotel,5.336076,-72.3940172,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
El Garcero,hotel,5.3410057,-72.3973831,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Royal Park,hotel,5.34589,-72.3979115,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Imperial Park,hotel,5.3406186,-72.4002584,Habitaciones; Recepción / atención al cliente; TV en habitaciones; Baño privado; Servicio de transporte / traslado,Perímetro Urbano Yopal
Oro Verde Esmeralda,hotel,5.3398682,-72.4010416,Habitaciones; Recepción / atención al cliente; Seguridad; Extintores / sistema contra incendios; Wi-Fi gratuito,Perímetro Urbano Yopal
Acuario´s Yopal,hotel,5.3429871,-72.3992768,Habitaciones; Recepción / atención al cliente; Seguridad; Extintores / sistema contra incendios; Wi-Fi gratuito,Perímetro Urbano Yopal
Brisas Cravo Sur,hotel,5.3501602,-72.3984158,Habitaciones; Recepción / atención al cliente; TV en habitaciones; Baño privado; Servicio de transporte / traslado,Perímetro Urbano Yopal
Balcones del Llano,hotel,5.3454064,-72.4000667,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
La Floresta,hotel,5.3455428,-72.400414,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Casanare,hotel,5.3477075,-72.4015513,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Dan´s,hotel,5.3476205,-72.4009505,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Casanare,hotel,5.3478315,-72.3992807,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Providencia,hotel,5.3457058,-72.3993881,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
D.K.CH,hotel,5.3184516,-72.3977185,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Milenium,hotel,5.3390562,-72.3993063,Habitaciones; Recepción / atención al cliente; Guarda equipaje; TV en habitaciones; Baño privado,Perímetro Urbano Yopal
La Esquina del Sabor,hotel,5.3412861,-72.3911603,Habitaciones; Recepción / atención al cliente; Guarda equipaje; TV en habitaciones; Baño privado,Perímetro Urbano Yopal
La Guacava,hotel,5.3353038,-72.3912836,Habitaciones; Recepción / atención al cliente; TV en habitaciones; Baño privado; Servicio de transporte / traslado,Perímetro Urbano Yopal
Hospedaje y hotel la 23,hotel,5.3351768,-72.3897501,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Residencias Alfred's,hotel,5.335294,-72.3898091,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Capibara,hotel,5.3358048,-72.3900811,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Hotel,hotel,5.3367097,-72.3909142,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Cimarrón Llanero,hotel,5.345861,-72.3998656,Habitaciones; Recepción / atención al cliente; Seguridad; Extintores / sistema contra incendios; Wi-Fi gratuito,Perímetro Urbano Yopal
San Diego,hotel,5.3498553,-72.3980634,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Eco Hotel La Fortuna,hotel,5.0663748,-71.9733418,Habitaciones; Recepción / atención al cliente; Información turística; Recepción 24 horas; Seguridad,Yopal
Hotel Ganadero,hotel,4.6098629,-72.9273754,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Villanueva
Hotel El Castillo,hotel,4.6082569,-72.92506,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Recepción 24 horas; Servicio de limpieza,Villanueva
Hotel Montserrat,hotel,4.8846438,-72.8951507,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; TV en habitaciones; Baño privado,Monterrey
Casa,casa de huéspedes,5.3316956,-72.3999319,Habitaciones; Recepción / atención al cliente; Extintores / sistema contra incendios; Wi-Fi gratuito; Estacionamiento,Perímetro Urbano Yopal
Hotel paraíso,hotel,5.3250821,-72.4036129,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel El Balí,hotel,5.340986,-72.3997713,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Pago con tarjeta; Recepción 24 horas,Yopal
Hotel,hotel,5.8803492,-71.8949963,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Paz de Ariporo
Hotel Herblan,hotel,5.1715528,-72.5495894,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Aguazul
Jesaley,hotel,5.4073077,-71.6640101,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Trinidad
hotel Rogers Confort,hotel,5.3250919,-72.3936936,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Luma,apartamento turístico,5.347082,-72.3953238,Habitaciones; Recepción / atención al cliente; Guarda equipaje; TV en habitaciones; Baño privado,Perímetro Urbano Yopal
Caminos de Sirivana,apartamento turístico,5.34928,-72.3870049,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
C.D.I Luz del mañana,hostal,5.3264326,-72.4016524,Habitaciones; Recepción / atención al cliente; Guarda equipaje; TV en habitaciones; Baño privado,Perímetro Urbano Yopal
El Mañoso,hotel,5.3213502,-72.393434,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Recepción 24 horas; Servicio de transporte / traslado,Perímetro Urbano Yopal
Hotel Anamela,hotel,4.8216513,-72.2880132,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Maní
Hotel Central,hotel,5.2136113,-72.8707664,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Chámeza
Royal Fenix,hotel,5.346893,-72.3994428,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Reserva Natural Hato La Aurora,hotel,6.0130645,-71.2986519,Habitaciones; Recepción / atención al cliente; Información turística; Guarda equipaje; TV en habitaciones,Paz de Ariporo
Juan Sólito,hotel,6.0135657,-71.2987377,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Seguridad; Extintores / sistema contra incendios,Paz de Ariporo
Hato Mata de Palma,hotel,5.2571293,-71.783096,Habitaciones; Recepción / atención al cliente; Información turística; Recepción 24 horas; Seguridad,San Luis de Palenque
Hato Altamira,hotel,5.2400115,-71.7946313,Habitaciones; Recepción / atención al cliente; Información turística; Extintores / sistema contra incendios; Wi-Fi gratuito,San Luis de Palenque
Hato Montana,hotel,5.2095842,-71.763264,Habitaciones; Recepción / atención al cliente; Información turística; Guarda equipaje; TV en habitaciones,San Luís de Palenque
Hotel Serranova,hotel,6.1570358,-71.7660201,Habitaciones; Recepción / atención al cliente; Seguridad; Extintores / sistema contra incendios; Wi-Fi gratuito,Hato Corozal
Corocora Camp,hotel,5.1912826,-71.7406637,Habitaciones; Recepción / atención al cliente; Información turística; Estacionamiento; Servicio de limpieza,San Luis de Palenque
Hotel La Alborada,hotel,5.6376028,-72.1938096,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Nunchía
Hospedaje agr Orocué,apartamento turístico,4.787979,-71.3385912,Habitaciones; Recepción / atención al cliente; Guarda equipaje; TV en habitaciones; Baño privado,Orocué
Villa polita,apartamento turístico,5.3513791,-72.4027798,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Motel Altos de San Pedro,motel,4.6543263,-72.9402069,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Villanueva
Hotal Real Santa Inés,hotel,4.6100093,-72.9326722,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Villanueva
Hotel Coltan,hotel,4.6097659,-72.9278123,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Villanueva
Hotel El Balcón de la Villa,hotel,4.6112923,-72.9273805,Habitaciones; Recepción / atención al cliente; TV en habitaciones; Baño privado; Servicio de transporte / traslado,Villanueva
Finca ecoturistica El Paraíso de Buganviles,casa de huéspedes,4.8504068,-72.8932307,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Información turística; Recepción 24 horas,Monterrey
Residencias Cúcuta,hotel,5.8801811,-71.8945373,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Paz de Ariporo
Hotel Luna Roja,hotel,5.3479373,-72.3982595,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel Romano,hotel,5.4072817,-71.6625685,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Trinidad
Mi Fundo Posada Turistica,hotel,5.007541,-72.7298617,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Información turística; Servicio de limpieza,Tauramena
Hotel Central El Yopal,hotel,5.3484407,-72.4018785,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Hotel Haybore,hotel,5.3484398,-72.4017104,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Hotel Dandy,hotel,5.3486056,-72.4014903,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel Aristi,hotel,5.3479832,-72.4016518,Habitaciones; Recepción / atención al cliente; Extintores / sistema contra incendios; Wi-Fi gratuito; Estacionamiento,Perímetro Urbano Yopal
La Posada Llanera Hotel G.P.C.,hotel,5.34782,-72.401574,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Hotel La Posada Casa Grande,hotel,5.3482255,-72.401614,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel Estefany,hotel,5.3229673,-72.4038023,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Hotel Nuevo Habitat,hotel,5.3212875,-72.4029386,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel Y Residencias D.K.Ch.,hotel,5.3186141,-72.3979014,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Hotel Maria Helena,hotel,5.3189012,-72.3958153,Habitaciones; Recepción / atención al cliente; Guarda equipaje; TV en habitaciones; Baño privado,Perímetro Urbano Yopal
Hotel Manguare,hotel,5.3488032,-72.3947599,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hotel Nicolle,hotel,5.3442613,-72.3899487,Habitaciones; Recepción / atención al cliente; Guarda equipaje; TV en habitaciones; Baño privado,Perímetro Urbano Yopal
Hotel Holiday Inn Express,hotel,5.3464391,-72.3899728,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel Manare Real,hotel,5.3355566,-72.382472,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hotel Manare Real,hotel,5.3361374,-72.3830373,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hospederia Marenos,hotel,5.3488132,-72.3960487,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Hotel El Jardin,hotel,5.3517214,-72.3975688,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel Boutique Osborne,hotel,5.3492258,-72.3975004,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel Casa Morales,hotel,5.3499949,-72.3978565,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel Sol De Piedemonte,hotel,5.3499722,-72.3990212,Habitaciones; Recepción / atención al cliente; Seguridad; Extintores / sistema contra incendios; Wi-Fi gratuito,Perímetro Urbano Yopal
Hotel Hostal Del Parque,hotel,5.3488333,-72.4007187,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Hospedaje Rusio Moro,hotel,5.3370788,-72.3910712,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel Restaurante Caporales,hotel,5.3367744,-72.3903349,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel La Posada De Kevin,hotel,5.3362552,-72.3889711,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Hotel La Posada De Kevin,hotel,5.3359262,-72.389628,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Hotel El Gaban del Llano,hotel,5.3339809,-72.3930909,Habitaciones; Recepción / atención al cliente; Extintores / sistema contra incendios; Wi-Fi gratuito; Estacionamiento,Perímetro Urbano Yopal
Hotel Azul,hotel,5.3314913,-72.3937628,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Hotel La Capotera,hotel,5.3347981,-72.389494,Habitaciones; Recepción / atención al cliente; Extintores / sistema contra incendios; Wi-Fi gratuito; Estacionamiento,Perímetro Urbano Yopal
Hotel Emporio Llanero,hotel,5.3343229,-72.3969787,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hotel Emporio Real,hotel,5.3343507,-72.3968916,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel Capitolio De Los Llanos Yopal,hotel,5.3337785,-72.3990971,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Hotel Villas Del Prado,hotel,5.3340692,-72.3991152,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel El Transportador La 25,hotel,5.3322824,-72.4005434,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel Millenium Del Llano,hotel,5.3291017,-72.3956068,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Hospedaje Muñoz,hotel,5.3154173,-72.4039672,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Hotel Los Angelos,hotel,5.3302808,-72.4078725,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Hotel Dagmara,hotel,5.3273164,-72.406349,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel Villamaria de la 30 del Llano,hotel,5.326148,-72.4043213,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel El Descanso Del Rey,hotel,5.3254163,-72.404163,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel Alcaravan Yopal,hotel,5.3255765,-72.4048242,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel Horeb De La 32,hotel,5.3239798,-72.4038224,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel Capitals,hotel,5.3406104,-72.3975005,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Hotel Cristal Oro,hotel,5.3407475,-72.3975799,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
Hotel Casanare Royal,hotel,5.3398736,-72.3993773,Habitaciones; Recepción / atención al cliente; Servicio de transporte / traslado; Información turística; Pago con tarjeta,Perímetro Urbano Yopal
Hotel Terranova Apartahotel,hotel,5.339101,-72.3990129,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel Granada Plaza Yopal,hotel,5.3404755,-72.3977347,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel Sophia Real,hotel,5.3376562,-72.3952114,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel Quitián,hotel,5.3398598,-72.3952775,Habitaciones; Recepción / atención al cliente; Extintores / sistema contra incendios; Wi-Fi gratuito; Estacionamiento,Perímetro Urbano Yopal
Hotel Colonial La Veinte,hotel,5.338794,-72.3953424,Habitaciones; Recepción / atención al cliente; Wi-Fi gratuito; Estacionamiento; Servicio de limpieza,Perímetro Urbano Yopal
Hospederia Atalayas,hotel,5.3351271,-72.3945515,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Hotel Las Americas Jc,hotel,5.3367208,-72.395419,Habitaciones; Recepción / atención al cliente; Extintores / sistema contra incendios; Wi-Fi gratuito; Estacionamiento,Perímetro Urbano Yopal
Hotel La Voragine Yopal,hotel,5.3366822,-72.392478,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hotel Concord,hotel,5.336287,-72.3912348,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Hotel Continental Royal,hotel,5.3444114,-72.3988845,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Hotel Milan del Llano,hotel,5.3426539,-72.3975801,Habitaciones; Recepción / atención al cliente; TV en habitaciones; Baño privado; Servicio de transporte / traslado,Perímetro Urbano Yopal
Hotel Acuarios Yopal,hotel,5.3428599,-72.3993303,Habitaciones; Recepción / atención al cliente; Información turística; Pago con tarjeta; Recepción 24 horas,Perímetro Urbano Yopal
Hotel Iguazu Yopal,hotel,5.3438905,-72.4007995,Habitaciones; Recepción / atención al cliente; Servicio de limpieza; Guarda equipaje; TV en habitaciones,Perímetro Urbano Yopal
Hotel Descanso Llanero,hotel,5.3433973,-72.3979785,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hotel Cartago,hotel,5.3442365,-72.3984397,Habitaciones; Recepción / atención al cliente; Baño privado; Servicio de transporte / traslado; Información turística,Perímetro Urbano Yopal
Hotel Denver,hotel,5.3429302,-72.3958458,Habitaciones; Recepción / atención al cliente; Estacionamiento; Servicio de limpieza; Guarda equipaje,Perímetro Urbano Yopal
Hotel Casa David II,hotel,5.3431724,-72.3974605,Habitaciones; Recepción / atención al cliente; Pago con tarjeta; Recepción 24 horas; Seguridad,Perímetro Urbano Yopal
Hotel Quince Real,hotel,5.3436048,-72.3965864,Habitaciones; Recepción / atención al cliente; Recepción 24 horas; Seguridad; Extintores / sistema contra incendios,Perímetro Urbano Yopal
